offer_type,difficulty,reward,duration,age_group,income_group,reception,view,completion,view_rate,completion_rate,completion_to_view_rate,total_amount,average_amount,total_reward,channels
bogo,5,5,5,30-39,$40K-$60K,286,270,168,0.944056,0.587413,0.622222,2549.48,15.175476,840,"['web', 'email', 'mobile', 'social']"
bogo,5,5,7,30-39,$40K-$60K,321,122,170,0.380062,0.529595,1.393443,2571.96,15.129176,850,"['web', 'email', 'mobile']"
bogo,10,10,5,30-39,$40K-$60K,289,276,107,0.955017,0.370242,0.387681,2325.22,21.731028,1070,"['web', 'email', 'mobile', 'social']"
bogo,10,10,7,30-39,$40K-$60K,295,281,115,0.952542,0.389831,0.409253,4049.53,35.213304,1150,"['email', 'mobile', 'social']"
bogo,5,5,5,30-39,$60K-$80K,189,186,120,0.984127,0.634921,0.645161,3545.24,29.543667,600,"['web', 'email', 'mobile', 'social']"
bogo,5,5,7,30-39,$60K-$80K,200,96,126,0.48,0.63,1.3125,2269.83,18.014524,630,"['web', 'email', 'mobile']"
bogo,10,10,5,30-39,$60K-$80K,195,188,95,0.964103,0.487179,0.505319,2636.75,27.755263,950,"['web', 'email', 'mobile', 'social']"
bogo,10,10,7,30-39,$60K-$80K,212,203,109,0.957547,0.514151,0.536946,4457.06,40.890459,1090,"['email', 'mobile', 'social']"
bogo,5,5,5,30-39,$80K-$100K,32,32,23,1,0.71875,0.71875,658.08,28.612174,115,"['web', 'email', 'mobile', 'social']"
bogo,5,5,7,30-39,$80K-$100K,31,31,27,1,0.870968,0.870968,702.04,26.001481,135,"['web', 'email', 'mobile']"
bogo,10,10,5,30-39,$80K-$100K,20,20,19,1,0.95,0.95,566.75,29.828947,190,"['web', 'email', 'mobile', 'social']"
bogo,10,10,7,30-39,$80K-$100K,33,32,22,0.969697,0.666667,0.6875,622.58,28.299091,220,"['email', 'mobile', 'social']"
bogo,5,5,5,30-39,"Under $40K",115,109,53,0.947826,0.46087,0.486239,578.13,10.908113,265,"['web', 'email', 'mobile', 'social']"
bogo,5,5,7,30-39,"Under $40K",176,70,91,0.397727,0.517045,1.3,1207.47,13.268901,455,"['web', 'email', 'mobile']"
bogo,10,10,5,30-39,"Under $40K",159,153,52,0.962264,0.327044,0.339869,1427.12,27.444615,520,"['web', 'email', 'mobile', 'social']"
bogo,10,10,7,30-39,"Under $40K",153,147,52,0.960784,0.339869,0.353741,865.78,16.649615,520,"['email', 'mobile', 'social']"
bogo,5,5,5,40-49,$100K-$120K,29,27,19,0.931034,0.655172,0.703704,468.07,24.635263,95,"['web', 'email', 'mobile', 'social']"
bogo,5,5,7,40-49,$100K-$120K,32,18,24,0.5625,0.75,1.333333,916.23,38.17625,120,"['web', 'email', 'mobile']"
bogo,10,10,5,40-49,$100K-$120K,22,22,22,1,1,1,857.22,38.964545,220,"['web', 'email', 'mobile', 'social']"
bogo,10,10,7,40-49,$100K-$120K,20,16,17,0.8,0.85,1.0625,566.97,33.351176,170,"['email', 'mobile', 'social']"
bogo,5,5,5,40-49,$40K-$60K,353,339,200,0.96034,0.566572,0.589971,3129.8,15.649,1000,"['web', 'email', 'mobile', 'social']"
bogo,5,5,7,40-49,$40K-$60K,344,187,203,0.543605,0.590116,1.085561,3230.03,15.911478,1015,"['web', 'email', 'mobile']"
bogo,10,10,5,40-49,$40K-$60K,365,350,149,0.958904,0.408219,0.425714,3073.19,20.625436,1490,"['web', 'email', 'mobile', 'social']"
bogo,10,10,7,40-49,$40K-$60K,373,344,173,0.922252,0.463807,0.502907,4483,25.913295,1730,"['email', 'mobile', 'social']"
bogo,5,5,5,40-49,$60K-$80K,341,324,203,0.950147,0.595308,0.626543,4319.76,21.279606,1015,"['web', 'email', 'mobile', 'social']"
bogo,5,5,7,40-49,$60K-$80K,341,229,218,0.671554,0.639296,0.951965,4385.44,20.116697,1090,"['web', 'email', 'mobile']"
bogo,10,10,5,40-49,$60K-$80K,351,342,190,0.974359,0.541311,0.555556,4630.35,24.370263,1900,"['web', 'email', 'mobile', 'social']"
bogo,10,10,7,40-49,$60K-$80K,362,325,217,0.89779,0.599448,0.667692,4965.34,22.881751,2170,"['email', 'mobile', 'social']"
bogo,5,5,5,40-49,$80K-$100K,159,156,94,0.981132,0.591195,0.602564,3482.73,37.050319,470,"['web', 'email', 'mobile', 'social']"
bogo,5,5,7,40-49,$80K-$100K,156,132,122,0.846154,0.782051,0.924242,3413.92,27.982951,610,"['web', 'email', 'mobile']"
bogo,10,10,5,40-49,$80K-$100K,157,153,110,0.974522,0.700637,0.718954,3795.19,34.501727,1100,"['web', 'email', 'mobile', 'social']"
bogo,10,10,7,40-49,$80K-$100K,191,155,145,0.811518,0.759162,0.935484,3816.98,26.324,1450,"['email', 'mobile', 'social']"
bogo,5,5,5,40-49,"Under $40K",154,148,70,0.961039,0.454545,0.472973,1272.6,18.18,350,"['web', 'email', 'mobile', 'social']"
bogo,5,5,7,40-49,"Under $40K",148,57,68,0.385135,0.459459,1.192982,812.55,11.949265,340,"['web', 'email', 'mobile']"
bogo,10,10,5,40-49,"Under $40K",132,125,30,0.94697,0.227273,0.24,573.94,19.131333,300,"['web', 'email', 'mobile', 'social']"
bogo,10,10,7,40-49,"Under $40K",154,146,50,0.948052,0.324675,0.342466,1246.75,24.935,500,"['email', 'mobile', 'social']"
bogo,5,5,5,50-59,$100K-$120K,162,156,123,0.962963,0.759259,0.788462,4963.29,40.351951,615,"['web', 'email', 'mobile', 'social']"
bogo,5,5,7,50-59,$100K-$120K,163,64,125,0.392638,0.766871,1.953125,3799.6,30.3968,625,"['web', 'email', 'mobile']"
bogo,10,10,5,50-59,$100K-$120K,164,153,128,0.932927,0.780488,0.836601,4632.37,36.190391,1280,"['web', 'email', 'mobile', 'social']"
bogo,10,10,7,50-59,$100K-$120K,173,119,127,0.687861,0.734104,1.067227,6637.9,52.266929,1270,"['email', 'mobile', 'social']"
bogo,5,5,5,50-59,$120K+,2,1,1,0.5,0.5,1,35.74,35.74,5,"['web', 'email', 'mobile', 'social']"
bogo,10,10,5,50-59,$120K+,4,4,4,1,1,1,118.87,29.7175,40,"['web', 'email', 'mobile', 'social']"
bogo,10,10,7,50-59,$120K+,2,2,2,1,1,1,101.43,50.715,20,"['email', 'mobile', 'social']"
bogo,5,5,5,50-59,$40K-$60K,381,366,228,0.96063,0.598425,0.622951,5185.98,22.745526,1140,"['web', 'email', 'mobile', 'social']"
bogo,5,5,7,50-59,$40K-$60K,375,195,223,0.52,0.594667,1.14359,3354.53,15.042735,1115,"['web', 'email', 'mobile']"
bogo,10,10,5,50-59,$40K-$60K,356,343,155,0.963483,0.435393,0.451895,4040.23,26.066,1550,"['web', 'email', 'mobile', 'social']"
bogo,10,10,7,50-59,$40K-$60K,384,345,182,0.898438,0.473958,0.527536,3986.6,21.904396,1820,"['email', 'mobile', 'social']"
bogo,5,5,5,50-59,$60K-$80K,497,481,332,0.967807,0.668008,0.690229,8010.19,24.127078,1660,"['web', 'email', 'mobile', 'social']"
bogo,5,5,7,50-59,$60K-$80K,513,317,367,0.617934,0.7154,1.157729,8438.09,22.992071,1835,"['web', 'email', 'mobile']"
bogo,10,10,5,50-59,$60K-$80K,486,467,289,0.960905,0.59465,0.618844,7042.04,24.36692,2890,"['web', 'email', 'mobile', 'social']"
bogo,10,10,7,50-59,$60K-$80K,480,408,302,0.85,0.629167,0.740196,7592.08,25.139338,3020,"['email', 'mobile', 'social']"
bogo,5,5,5,50-59,$80K-$100K,394,383,296,0.972081,0.751269,0.772846,8434.4,28.494595,1480,"['web', 'email', 'mobile', 'social']"
bogo,5,5,7,50-59,$80K-$100K,411,270,289,0.656934,0.703163,1.07037,8835.02,30.571003,1445,"['web', 'email', 'mobile']"
bogo,10,10,5,50-59,$80K-$100K,395,382,289,0.967089,0.731646,0.756545,13478.22,46.637439,2890,"['web', 'email', 'mobile', 'social']"
bogo,10,10,7,50-59,$80K-$100K,399,310,297,0.776942,0.744361,0.958065,8934.11,30.081178,2970,"['email', 'mobile', 'social']"
bogo,5,5,5,50-59,"Under $40K",122,119,59,0.97541,0.483607,0.495798,894.31,15.157797,295,"['web', 'email', 'mobile', 'social']"
bogo,5,5,7,50-59,"Under $40K",171,61,84,0.356725,0.491228,1.377049,873.25,10.395833,420,"['web', 'email', 'mobile']"
bogo,10,10,5,50-59,"Under $40K",144,137,32,0.951389,0.222222,0.233577,617.08,19.28375,320,"['web', 'email', 'mobile', 'social']"
bogo,10,10,7,50-59,"Under $40K",144,139,31,0.965278,0.215278,0.223022,614.84,19.833548,310,"['email', 'mobile', 'social']"
bogo,5,5,5,60-69,$100K-$120K,128,122,102,0.953125,0.796875,0.836066,3283.55,32.191667,510,"['web', 'email', 'mobile', 'social']"
bogo,5,5,7,60-69,$100K-$120K,139,50,96,0.359712,0.690647,1.92,2806.09,29.230104,480,"['web', 'email', 'mobile']"
bogo,10,10,5,60-69,$100K-$120K,148,139,110,0.939189,0.743243,0.791367,4135.72,37.597455,1100,"['web', 'email', 'mobile', 'social']"
bogo,10,10,7,60-69,$100K-$120K,138,106,104,0.768116,0.753623,0.981132,3810.09,36.635481,1040,"['email', 'mobile', 'social']"
bogo,5,5,5,60-69,$120K+,2,2,2,1,1,1,71.16,35.58,10,"['web', 'email', 'mobile', 'social']"
bogo,5,5,7,60-69,$120K+,1,1,1,1,1,1,71.49,71.49,5,"['web', 'email', 'mobile']"
bogo,10,10,5,60-69,$120K+,4,4,4,1,1,1,185.71,46.4275,40,"['web', 'email', 'mobile', 'social']"
bogo,10,10,7,60-69,$120K+,7,5,6,0.714286,0.857143,1.2,216.3,36.05,60,"['email', 'mobile', 'social']"
bogo,5,5,5,60-69,$40K-$60K,363,349,203,0.961433,0.559229,0.581662,3153.18,15.532906,1015,"['web', 'email', 'mobile', 'social']"
bogo,5,5,7,60-69,$40K-$60K,338,183,176,0.54142,0.52071,0.961749,2669.84,15.169545,880,"['web', 'email', 'mobile']"
bogo,10,10,5,60-69,$40K-$60K,329,320,129,0.972644,0.392097,0.403125,2552.98,19.790543,1290,"['web', 'email', 'mobile', 'social']"
bogo,10,10,7,60-69,$40K-$60K,336,315,150,0.9375,0.446429,0.47619,3101.79,20.6786,1500,"['email', 'mobile', 'social']"
bogo,5,5,5,60-69,$60K-$80K,420,406,293,0.966667,0.697619,0.721675,6946.98,23.709829,1465,"['web', 'email', 'mobile', 'social']"
bogo,5,5,7,60-69,$60K-$80K,397,236,267,0.594458,0.672544,1.131356,8356.84,31.299026,1335,"['web', 'email', 'mobile']"
bogo,10,10,5,60-69,$60K-$80K,434,411,234,0.947005,0.539171,0.569343,6568.67,28.071239,2340,"['web', 'email', 'mobile', 'social']"
bogo,10,10,7,60-69,$60K-$80K,424,365,273,0.860849,0.643868,0.747945,7423.46,27.192161,2730,"['email', 'mobile', 'social']"
bogo,5,5,5,60-69,$80K-$100K,276,261,201,0.945652,0.728261,0.770115,7415.32,36.892139,1005,"['web', 'email', 'mobile', 'social']"
bogo,5,5,7,60-69,$80K-$100K,305,184,230,0.603279,0.754098,1.25,6143.99,26.713,1150,"['web', 'email', 'mobile']"
bogo,10,10,5,60-69,$80K-$100K,275,265,184,0.963636,0.669091,0.69434,8276.12,44.978913,1840,"['web', 'email', 'mobile', 'social']"
bogo,10,10,7,60-69,$80K-$100K,298,227,238,0.761745,0.798658,1.048458,7222.23,30.345504,2380,"['email', 'mobile', 'social']"
bogo,5,5,5,60-69,"Under $40K",142,131,66,0.922535,0.464789,0.503817,906.77,13.738939,330,"['web', 'email', 'mobile', 'social']"
bogo,5,5,7,60-69,"Under $40K",147,49,60,0.333333,0.408163,1.22449,877.62,14.627,300,"['web', 'email', 'mobile']"
bogo,10,10,5,60-69,"Under $40K",147,139,39,0.945578,0.265306,0.280576,846.62,21.708205,390,"['web', 'email', 'mobile', 'social']"
bogo,10,10,7,60-69,"Under $40K",151,142,42,0.940397,0.278146,0.295775,815.95,19.427381,420,"['email', 'mobile', 'social']"
bogo,5,5,5,70-79,$100K-$120K,99,94,75,0.949495,0.757576,0.797872,4249.53,56.6604,375,"['web', 'email', 'mobile', 'social']"
bogo,5,5,7,70-79,$100K-$120K,109,51,87,0.46789,0.798165,1.705882,2595.64,29.834943,435,"['web', 'email', 'mobile']"
bogo,10,10,5,70-79,$100K-$120K,89,85,59,0.955056,0.662921,0.694118,1816.04,30.780339,590,"['web', 'email', 'mobile', 'social']"
bogo,10,10,7,70-79,$100K-$120K,90,71,71,0.788889,0.788889,1,2146.8,30.23662,710,"['email', 'mobile', 'social']"
bogo,5,5,5,70-79,$40K-$60K,197,186,106,0.944162,0.538071,0.569892,1632.58,15.401698,530,"['web', 'email', 'mobile', 'social']"
bogo,5,5,7,70-79,$40K-$60K,216,107,124,0.49537,0.574074,1.158879,2049.23,16.526048,620,"['web', 'email', 'mobile']"
bogo,10,10,5,70-79,$40K-$60K,195,188,77,0.964103,0.394872,0.409574,1487.95,19.324026,770,"['web', 'email', 'mobile', 'social']"
bogo,10,10,7,70-79,$40K-$60K,187,178,72,0.951872,0.385027,0.404494,2722.62,37.814167,720,"['email', 'mobile', 'social']"
bogo,5,5,5,70-79,$60K-$80K,215,209,129,0.972093,0.6,0.617225,2642.37,20.483488,645,"['web', 'email', 'mobile', 'social']"
bogo,5,5,7,70-79,$60K-$80K,235,152,159,0.646809,0.676596,1.046053,3677.11,23.126478,795,"['web', 'email', 'mobile']"
bogo,10,10,5,70-79,$60K-$80K,246,239,144,0.971545,0.585366,0.60251,3417.01,23.729236,1440,"['web', 'email', 'mobile', 'social']"
bogo,10,10,7,70-79,$60K-$80K,238,197,138,0.827731,0.579832,0.700508,3006.43,21.785725,1380,"['email', 'mobile', 'social']"
bogo,5,5,5,70-79,$80K-$100K,192,182,141,0.947917,0.734375,0.774725,6520.22,46.242695,705,"['web', 'email', 'mobile', 'social']"
bogo,5,5,7,70-79,$80K-$100K,188,104,142,0.553191,0.755319,1.365385,4098.01,28.859225,710,"['web', 'email', 'mobile']"
bogo,10,10,5,70-79,$80K-$100K,183,173,131,0.945355,0.715847,0.757225,4750.91,36.266489,1310,"['web', 'email', 'mobile', 'social']"
bogo,10,10,7,70-79,$80K-$100K,178,145,150,0.814607,0.842697,1.034483,4898.05,32.653667,1500,"['email', 'mobile', 'social']"
bogo,5,5,5,70-79,"Under $40K",90,81,51,0.9,0.566667,0.62963,660.07,12.942549,255,"['web', 'email', 'mobile', 'social']"
bogo,5,5,7,70-79,"Under $40K",98,40,47,0.408163,0.479592,1.175,505.92,10.764255,235,"['web', 'email', 'mobile']"
bogo,10,10,5,70-79,"Under $40K",68,67,20,0.985294,0.294118,0.298507,384.34,19.217,200,"['web', 'email', 'mobile', 'social']"
bogo,10,10,7,70-79,"Under $40K",70,68,15,0.971429,0.214286,0.220588,571.64,38.109333,150,"['email', 'mobile', 'social']"
bogo,5,5,5,80+,$100K-$120K,65,64,54,0.984615,0.830769,0.84375,1712.8,31.718519,270,"['web', 'email', 'mobile', 'social']"
bogo,5,5,7,80+,$100K-$120K,54,17,37,0.314815,0.685185,2.176471,1157.64,31.287568,185,"['web', 'email', 'mobile']"
bogo,10,10,5,80+,$100K-$120K,72,70,51,0.972222,0.708333,0.728571,1812.27,35.534706,510,"['web', 'email', 'mobile', 'social']"
bogo,10,10,7,80+,$100K-$120K,61,50,45,0.819672,0.737705,0.9,1275.57,28.346,450,"['email', 'mobile', 'social']"
bogo,5,5,5,80+,$120K+,2,2,2,1,1,1,81.11,40.555,10,"['web', 'email', 'mobile', 'social']"
bogo,5,5,7,80+,$120K+,2,1,2,0.5,1,2,72.48,36.24,10,"['web', 'email', 'mobile']"
bogo,10,10,5,80+,$120K+,3,2,2,0.666667,0.666667,1,43.25,21.625,20,"['web', 'email', 'mobile', 'social']"
bogo,10,10,7,80+,$120K+,2,2,2,1,1,1,35.97,17.985,20,"['email', 'mobile', 'social']"
bogo,5,5,5,80+,$40K-$60K,113,110,74,0.973451,0.654867,0.672727,1206.43,16.303108,370,"['web', 'email', 'mobile', 'social']"
bogo,5,5,7,80+,$40K-$60K,118,62,72,0.525424,0.610169,1.16129,910.77,12.649583,360,"['web', 'email', 'mobile']"
bogo,10,10,5,80+,$40K-$60K,122,119,47,0.97541,0.385246,0.394958,807.29,17.176383,470,"['web', 'email', 'mobile', 'social']"
bogo,10,10,7,80+,$40K-$60K,118,111,53,0.940678,0.449153,0.477477,1544.33,29.138302,530,"['email', 'mobile', 'social']"
bogo,5,5,5,80+,$60K-$80K,164,159,105,0.969512,0.640244,0.660377,2359.47,22.471143,525,"['web', 'email', 'mobile', 'social']"
bogo,5,5,7,80+,$60K-$80K,160,90,97,0.5625,0.60625,1.077778,2233.84,23.029278,485,"['web', 'email', 'mobile']"
bogo,10,10,5,80+,$60K-$80K,160,155,107,0.96875,0.66875,0.690323,2548.4,23.816822,1070,"['web', 'email', 'mobile', 'social']"
bogo,10,10,7,80+,$60K-$80K,152,138,106,0.907895,0.697368,0.768116,3734.31,35.22934,1060,"['email', 'mobile', 'social']"
bogo,5,5,5,80+,$80K-$100K,122,118,97,0.967213,0.795082,0.822034,2482.87,25.596598,485,"['web', 'email', 'mobile', 'social']"
bogo,5,5,7,80+,$80K-$100K,84,58,66,0.690476,0.785714,1.137931,1847.04,27.985455,330,"['web', 'email', 'mobile']"
bogo,10,10,5,80+,$80K-$100K,105,104,76,0.990476,0.72381,0.730769,2086.78,27.457632,760,"['web', 'email', 'mobile', 'social']"
bogo,10,10,7,80+,$80K-$100K,121,97,95,0.801653,0.785124,0.979381,2607.47,27.447053,950,"['email', 'mobile', 'social']"
bogo,5,5,5,80+,"Under $40K",46,45,28,0.978261,0.608696,0.622222,351.62,12.557857,140,"['web', 'email', 'mobile', 'social']"
bogo,5,5,7,80+,"Under $40K",41,20,29,0.487805,0.707317,1.45,292.71,10.093448,145,"['web', 'email', 'mobile']"
bogo,10,10,5,80+,"Under $40K",36,34,10,0.944444,0.277778,0.294118,145.77,14.577,100,"['web', 'email', 'mobile', 'social']"
bogo,10,10,7,80+,"Under $40K",35,34,11,0.971429,0.314286,0.323529,203.15,18.468182,110,"['email', 'mobile', 'social']"
bogo,5,5,5,Unknown,Unknown,995,954,193,0.958794,0.19397,0.202306,2516.01,13.036321,965,"['web', 'email', 'mobile', 'social']"
bogo,5,5,7,Unknown,Unknown,992,672,166,0.677419,0.167339,0.247024,1753.62,10.563976,830,"['web', 'email', 'mobile']"
bogo,10,10,5,Unknown,Unknown,1000,969,21,0.969,0.021,0.021672,1315.13,62.625238,210,"['web', 'email', 'mobile', 'social']"
bogo,10,10,7,Unknown,Unknown,975,815,31,0.835897,0.031795,0.038037,1327.15,42.81129,310,"['email', 'mobile', 'social']"
discount,7,3,7,18-29,$40K-$60K,326,313,222,0.960123,0.680982,0.709265,3242.38,14.605315,666,"['web', 'email', 'mobile', 'social']"
discount,10,2,7,18-29,$40K-$60K,332,101,140,0.304217,0.421687,1.386139,3564.84,25.463143,280,"['web', 'email', 'mobile']"
discount,10,2,10,18-29,$40K-$60K,308,293,200,0.951299,0.649351,0.682594,2994.59,14.97295,400,"['web', 'email', 'mobile', 'social']"
discount,20,5,10,18-29,$40K-$60K,318,49,113,0.154088,0.355346,2.306122,1618.3,14.321239,565,"['web', 'email']"
discount,7,3,7,18-29,$60K-$80K,224,211,153,0.941964,0.683036,0.725118,2726.65,17.821242,459,"['web', 'email', 'mobile', 'social']"
discount,10,2,7,18-29,$60K-$80K,238,77,120,0.323529,0.504202,1.558442,2195.69,18.297417,240,"['web', 'email', 'mobile']"
discount,10,2,10,18-29,$60K-$80K,221,212,146,0.959276,0.660633,0.688679,1920.02,13.150822,292,"['web', 'email', 'mobile', 'social']"
discount,20,5,10,18-29,$60K-$80K,223,36,84,0.161435,0.376682,2.333333,2161.7,25.734524,420,"['web', 'email']"
discount,7,3,7,18-29,"Under $40K",194,180,123,0.927835,0.634021,0.683333,1351.68,10.989268,369,"['web', 'email', 'mobile', 'social']"
discount,10,2,7,18-29,"Under $40K",173,55,56,0.317919,0.323699,1.018182,1069.33,19.095179,112,"['web', 'email', 'mobile']"
discount,10,2,10,18-29,"Under $40K",173,163,108,0.942197,0.624277,0.662577,1157.09,10.713796,216,"['web', 'email', 'mobile', 'social']"
discount,20,5,10,18-29,"Under $40K",158,23,41,0.14557,0.259494,1.782609,781.47,19.060244,205,"['web', 'email']"
discount,10,2,7,30-39,$100K-$120K,1,1,1,1,1,1,80.64,80.64,2,"['web', 'email', 'mobile']"
discount,10,2,10,30-39,$100K-$120K,2,2,2,1,1,1,52.07,26.035,4,"['web', 'email', 'mobile', 'social']"
discount,7,3,7,30-39,$40K-$60K,289,278,203,0.961938,0.702422,0.730216,2978.16,14.670739,609,"['web', 'email', 'mobile', 'social']"
discount,10,2,7,30-39,$40K-$60K,295,124,147,0.420339,0.498305,1.185484,2247.37,15.288231,294,"['web', 'email', 'mobile']"
discount,10,2,10,30-39,$40K-$60K,307,290,229,0.944625,0.745928,0.789655,3237.93,14.139432,458,"['web', 'email', 'mobile', 'social']"
discount,20,5,10,30-39,$40K-$60K,319,66,124,0.206897,0.388715,1.878788,3164.59,25.520887,620,"['web', 'email']"
discount,7,3,7,30-39,$60K-$80K,229,220,181,0.960699,0.790393,0.822727,2871.84,15.866519,543,"['web', 'email', 'mobile', 'social']"
discount,10,2,7,30-39,$60K-$80K,215,101,118,0.469767,0.548837,1.168317,2916.78,24.718475,236,"['web', 'email', 'mobile']"
discount,10,2,10,30-39,$60K-$80K,209,201,146,0.961722,0.698565,0.726368,3529.03,24.171438,292,"['web', 'email', 'mobile', 'social']"
discount,20,5,10,30-39,$60K-$80K,220,46,89,0.209091,0.404545,1.934783,2558.8,28.750562,445,"['web', 'email']"
discount,7,3,7,30-39,$80K-$100K,34,34,26,1,0.764706,0.764706,596.64,22.947692,78,"['web', 'email', 'mobile', 'social']"
discount,10,2,7,30-39,$80K-$100K,26,26,22,1,0.846154,0.846154,638.17,29.007727,44,"['web', 'email', 'mobile']"
discount,10,2,10,30-39,$80K-$100K,32,32,30,1,0.9375,0.9375,988.76,32.958667,60,"['web', 'email', 'mobile', 'social']"
discount,20,5,10,30-39,$80K-$100K,37,30,29,0.810811,0.783784,0.966667,764.68,26.368276,145,"['web', 'email']"
discount,7,3,7,30-39,"Under $40K",151,144,96,0.953642,0.635762,0.666667,1505.05,15.677604,288,"['web', 'email', 'mobile', 'social']"
discount,10,2,7,30-39,"Under $40K",149,55,63,0.369128,0.422819,1.145455,1541.41,24.466825,126,"['web', 'email', 'mobile']"
discount,10,2,10,30-39,"Under $40K",148,142,109,0.959459,0.736486,0.767606,1344.24,12.332477,218,"['web', 'email', 'mobile', 'social']"
discount,20,5,10,30-39,"Under $40K",142,27,41,0.190141,0.288732,1.518519,586.23,14.298293,205,"['web', 'email']"
discount,7,3,7,40-49,$100K-$120K,20,20,13,1,0.65,0.65,409.31,31.485385,39,"['web', 'email', 'mobile', 'social']"
discount,10,2,7,40-49,$100K-$120K,33,16,17,0.484848,0.515152,1.0625,633.59,37.27,34,"['web', 'email', 'mobile']"
discount,10,2,10,40-49,$100K-$120K,17,16,16,0.941176,0.941176,1,471.86,29.49125,32,"['web', 'email', 'mobile', 'social']"
discount,20,5,10,40-49,$100K-$120K,21,6,16,0.285714,0.761905,2.666667,449.05,28.065625,80,"['web', 'email']"
discount,7,3,7,40-49,$40K-$60K,357,340,256,0.952381,0.717087,0.752941,4016.39,15.689023,768,"['web', 'email', 'mobile', 'social']"
discount,10,2,7,40-49,$40K-$60K,372,195,199,0.524194,0.534946,1.020513,3292.97,16.547588,398,"['web', 'email', 'mobile']"
discount,10,2,10,40-49,$40K-$60K,345,326,233,0.944928,0.675362,0.714724,3299.54,14.161116,466,"['web', 'email', 'mobile', 'social']"
discount,20,5,10,40-49,$40K-$60K,397,140,164,0.352645,0.413098,1.171429,3152.75,19.224085,820,"['web', 'email']"
discount,7,3,7,40-49,$60K-$80K,359,345,264,0.961003,0.735376,0.765217,4645.27,17.59572,792,"['web', 'email', 'mobile', 'social']"
discount,10,2,7,40-49,$60K-$80K,323,222,206,0.687307,0.637771,0.927928,4736.76,22.993981,412,"['web', 'email', 'mobile']"
discount,10,2,10,40-49,$60K-$80K,373,362,286,0.970509,0.766756,0.790055,5902.07,20.636608,572,"['web', 'email', 'mobile', 'social']"
discount,20,5,10,40-49,$60K-$80K,323,146,174,0.452012,0.5387,1.191781,4014.41,23.071322,870,"['web', 'email']"
discount,7,3,7,40-49,$80K-$100K,145,140,121,0.965517,0.834483,0.864286,3437.8,28.41157,363,"['web', 'email', 'mobile', 'social']"
discount,10,2,7,40-49,$80K-$100K,152,137,110,0.901316,0.723684,0.80292,2872.65,26.115,220,"['web', 'email', 'mobile']"
discount,10,2,10,40-49,$80K-$100K,159,153,129,0.962264,0.811321,0.843137,3404.85,26.394186,258,"['web', 'email', 'mobile', 'social']"
discount,20,5,10,40-49,$80K-$100K,133,98,91,0.736842,0.684211,0.928571,2711.58,29.797582,455,"['web', 'email']"
discount,7,3,7,40-49,"Under $40K",125,118,81,0.944,0.648,0.686441,1828.98,22.58,243,"['web', 'email', 'mobile', 'social']"
discount,10,2,7,40-49,"Under $40K",134,45,48,0.335821,0.358209,1.066667,648.59,13.512292,96,"['web', 'email', 'mobile']"
discount,10,2,10,40-49,"Under $40K",131,124,71,0.946565,0.541985,0.572581,889.79,12.532254,142,"['web', 'email', 'mobile', 'social']"
discount,20,5,10,40-49,"Under $40K",138,17,40,0.123188,0.289855,2.352941,707.86,17.6965,200,"['web', 'email']"
